Experiment,Location,Structure,Position,Species,Type,Origin,Comments,Date_0,Length_0,Width1_0,Width2_0,EV_0,Condition_0,Cause_0,SGR_0,Comments_0,Date_1,Length_1,Width1_1,Width2_1,EV_1,Condition_1,Cause_1,SGR_1,Comments_1,Date_2,Length_2,Width1_2,Width2_2,EV_2,Condition_2,Cause_2,SGR_2,Comments_2,Date_3,Length_3,Width1_3,Width2_3,EV_3,Condition_3,Cause_3,SGR_3,Comments_3,Date_4,Length_4,Width1_4,Width2_4,EV_4,Condition_4,Cause_4,SGR_4,Comments_4,Date_5,Length_5,Width1_5,Width2_5,EV_5,Condition_5,Cause_5,SGR_5,Comments_5,Date_6,Length_6,Width1_6,Width2_6,EV_6,Condition_6,Cause_6,SGR_6,Comments_6,Date_7,Length_7,Width1_7,Width2_7,EV_7,Condition_7,Cause_7,SGR_7,Comments_7,Date_8,Length_8,Width1_8,Width2_8,EV_8,Condition_8,Cause_8,SGR_8,Comments_8,Date_9,Length_9,Width1_9,Width2_9,EV_9,Condition_9,Cause_9,SGR_9,Comments_9,Date_10,Length_10,Width1_10,Width2_10,EV_10,Condition_10,Cause_10,SGR_10,Comments_10,Date_11,Length_11,Width1_11,Width2_11,EV_11,Condition_11,Cause_11,SGR_11,Comments_11,Date_12,Length_12,Width1_12,Width2_12,EV_12,Condition_12,Cause_12,SGR_12,Comments_12
Spatial variation (Emilia),Dolphin Point,1,1,Acropora verweyi,Mini nursery,,,21-Nov-17,4.6,1.4,1.5,8,100,,,,13-Mar-18,6.3,2.1,2.4,25,100,,,"OVERALL Dolphin: Corals grew well, only not the ones which where down for a while. A large share of fragments has white scars from healing bite marks, not many fresh bite marks though",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spatial variation (Emilia),Dolphin Point,1,2,Acropora verweyi,Mini nursery,,,21-Nov-17,4.2,1.3,1.8,8,100,,,,13-Mar-18,7,3.2,2.5,45,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spatial variation (Emilia),Dolphin Point,1,3,Acropora verweyi,Mini nursery,,,21-Nov-17,3.6,1.3,1.3,5,100,,,,13-Mar-18,4.8,2.1,1.9,15,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spatial variation (Emilia),Dolphin Point,1,4,Acropora verweyi,Mini nursery,,,21-Nov-17,4.1,1.7,1.3,7,100,,,,13-Mar-18,6.4,2,1.8,18,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spatial variation (Emilia),Dolphin Point,1,5,Acropora verweyi,Mini nursery,,,21-Nov-17,3.8,1.9,1.1,7,100,,,,13-Mar-18,5.2,2.3,2,19,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spatial variation (Emilia),Dolphin Point,1,6,Acropora verweyi,Mini nursery,,,21-Nov-17,4,1.2,1.2,4,100,,,,13-Mar-18,4.4,1.9,1.7,11,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spatial variation (Emilia),Dolphin Point,1,7,Acropora verweyi,Mini nursery,,,21-Nov-17,3.7,1.6,1.3,6,100,,,,13-Mar-18,5.1,2.3,1.9,18,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spatial variation (Emilia),Dolphin Point,1,8,Acropora verweyi,Mini nursery,,,21-Nov-17,3.6,1.7,1.2,6,100,,,,13-Mar-18,5.6,2.2,2.3,22,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spatial variation (Emilia),Dolphin Point,2,1,Acropora verweyi,Mini nursery,,,21-Nov-17,4.5,1.8,1.5,9,100,,,,13-Mar-18,,,,,0,,,dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spatial variation (Emilia),Dolphin Point,2,2,Acropora verweyi,Mini nursery,,,21-Nov-17,4.6,3.9,2.9,41,100,,,,13-Mar-18,6.5,5.2,4.3,115,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spatial variation (Emilia),Dolphin Point,2,3,Acropora verweyi,Mini nursery,,,21-Nov-17,3.6,2.8,1.8,15,100,,,,13-Mar-18,4.7,3.3,2,26,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spatial variation (Emilia),Dolphin Point,2,4,Acropora verweyi,Mini nursery,,,21-Nov-17,3.7,2.2,2,13,100,,,,13-Mar-18,4.2,3.4,2.6,30,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spatial variation (Emilia),Dolphin Point,2,5,Acropora verweyi,Mini nursery,,,21-Nov-17,4.5,1.9,1.7,12,100,,,,13-Mar-18,5.3,2.2,1.8,17,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
