Experiment,Student,Date.start,Date.end,Location,Structure,Fouling,Cup.weigth.empty.g,Total.weight.wet.g,Total.weight.dry.g,Difference.g,Comments
Spatial variation,Emilia Rizzi,,,Pilli Pipa,1,Barnacles,3.1,,16.6,13.5,
Spatial variation,Emilia Rizzi,,,Pilli Pipa,1,Brown algae,3.5,,3.6,0.1,
Spatial variation,Emilia Rizzi,,,Pilli Pipa,1,CCA,3.4,,5.6,2.2,
Spatial variation,Emilia Rizzi,,,Pilli Pipa,1,Cyanobacteria,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Pilli Pipa,1,Green algae,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Pilli Pipa,1,Mussels,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Pilli Pipa,1,Other,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Pilli Pipa,1,Soft Coral,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Pilli Pipa,1,Sponges,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Pilli Pipa,1,Tunicates,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Pilli Pipa,1,Turf,3.6,,8.2,4.6,
Spatial variation,Emilia Rizzi,,,Pilli Pipa,2,Barnacles,3.3,,50.8,47.5,
Spatial variation,Emilia Rizzi,,,Pilli Pipa,2,Brown algae,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Pilli Pipa,2,CCA,3.2,,6.6,3.4,
Spatial variation,Emilia Rizzi,,,Pilli Pipa,2,Cyanobacteria,3.2,,3.6,0.4,
Spatial variation,Emilia Rizzi,,,Pilli Pipa,2,Green algae,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Pilli Pipa,2,Mussels,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Pilli Pipa,2,Other,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Pilli Pipa,2,Soft Coral,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Pilli Pipa,2,Sponges,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Pilli Pipa,2,Tunicates,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Pilli Pipa,2,Turf,3.2,,7.2,4,
Spatial variation,Emilia Rizzi,,,Pilli Pipa,3,Barnacles,3.4,,19.5,16.1,
Spatial variation,Emilia Rizzi,,,Pilli Pipa,3,Brown algae,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Pilli Pipa,3,CCA,3.4,,5.6,2.2,
Spatial variation,Emilia Rizzi,,,Pilli Pipa,3,Cyanobacteria,3.3,,3.6,0.3,
